sample_id,gender,type,tissue_old,age,tissue,ACE2,ESR1,ACE1,ESR2,AR,PGR,TMPRSS2
TARGET.20.PARIMT.03,female,cancer,NA,0-19,blood,-2.20E-08,0.147832488,1.918873564,0.077228785,1.108042383,-2.20E-08,-2.20E-08
TARGET.20.PARIZR.03,male,cancer,NA,0-19,blood,-1.98E-08,0.133499639,0.579044775,0.233959497,0.017970577,-1.98E-08,-1.98E-08
TARGET.20.PARJCR.09,male,cancer,NA,0-19,blood,0.048127047,0.063518429,0.82560383,0.296546943,0.163192656,-1.80E-08,-1.80E-08
TARGET.20.PARJYP.03,female,cancer,NA,0-19,blood,-1.80E-08,0.016315635,1.758733849,0.047938867,1.445893594,-1.80E-08,-1.80E-08
TARGET.20.PARKCX.09,female,cancer,NA,0-19,blood,0.058746186,0.213310692,1.197828777,0.165001789,0.14823381,0.02004335,-2.21E-08
TARGET.20.PARLVL.04,male,cancer,NA,0-19,blood,-1.81E-08,0.032520374,0.803205429,0.04827736,0.016432112,-1.81E-08,0.122479301
TARGET.20.PARMZF.09,female,cancer,NA,0-19,blood,-1.81E-08,-1.81E-08,1.460473152,0.016409746,1.475937236,-1.81E-08,-1.81E-08
TARGET.20.PARPDS.09,female,cancer,NA,0-19,blood,0.036634127,1.113544611,1.905088204,0.226725797,0.121511043,-2.04E-08,-2.04E-08
TARGET.20.PARPWL.09,male,cancer,NA,0-19,blood,-1.83E-08,0.016647002,1.08338908,0.094867142,1.146239691,-1.83E-08,-1.83E-08
TARGET.20.PARSAN.03,male,cancer,NA,0-19,blood,-2.32E-08,0.255544984,0.572411971,0.385339953,0.061728111,-2.32E-08,0.081348132
TARGET.20.PARSHM.03,female,cancer,NA,0-19,blood,-2.13E-08,0.472069909,1.76458537,0.357276215,0.875806102,-2.13E-08,-2.13E-08
TARGET.20.PARTAL.04,female,cancer,NA,0-19,blood,-2.00E-08,0.18026987,1.358679714,0.41641469,1.036433738,-2.00E-08,-2.00E-08
TARGET.20.PARTAL.09,female,cancer,NA,0-19,blood,0.019583331,0.019583331,1.571010867,0.111080997,0.733479191,0.019583331,0.373467757
